CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Gender,Exited
418,64,5,120906.9252168993,1,0,1,28777.277213939888,France,Female,1
481,78,2,144019.79912513754,2,0,1,131954.80360024003,France,Male,0
699,26,0,73118.56857511566,4,1,0,61871.16814991492,Spain,Male,0
706,37,7,34581.742463569,4,1,1,102025.54752243095,Germany,Female,0
557,31,9,134407.47574357147,3,0,0,36545.8172861934,France,Female,1
768,59,5,155679.55768233648,1,1,0,70629.47754877887,France,Male,1
581,70,9,130449.88094621393,3,1,1,107752.69347003721,Spain,Female,0
832,19,6,89184.1903470754,4,0,0,72214.65409568339,Germany,Male,0
785,50,3,77703.88807573656,4,0,1,38921.448054534325,France,Female,0
315,49,7,146056.561470789,2,1,0,96295.17562438313,Spain,Female,0
683,38,0,79698.5174128809,3,0,0,71655.85680693656,Germany,Female,0
655,23,6,5394.923971172805,2,1,0,100868.27202698406,France,Female,1
338,55,1,152200.52555200475,3,0,1,114326.8731935047,Spain,Female,0
515,76,3,37603.43071071557,3,0,1,70066.2312434327,France,Female,0
504,57,3,94658.14746037727,2,0,0,24973.241084769845,France,Female,0
358,40,0,111491.0104545253,4,1,0,144342.21159324952,France,Female,1
443,75,3,42682.88704337939,2,1,0,98503.66858796791,Germany,Female,1
378,51,3,183915.85527180854,4,0,1,46242.068580728665,France,Female,0
372,26,0,21857.487590593315,2,1,0,62252.13090652489,Spain,Male,0
379,24,1,79429.38050397325,1,0,0,50430.45650189552,Spain,Female,0
314,26,2,8706.272357603573,1,0,1,124860.21332078282,Spain,Male,0
420,65,1,165500.4481603317,1,0,0,35064.91331997426,Spain,Male,1
312,29,5,125965.3928496497,4,1,1,43679.87600934769,Germany,Male,0
701,73,8,121328.17704513145,4,1,0,101143.28263205239,France,Male,0
348,69,1,35065.53250732583,1,0,0,94052.29793921497,Spain,Male,0
759,38,10,49091.65568008986,4,1,1,105399.1471903636,Germany,Female,0
835,61,6,113914.18061748371,3,0,1,118924.55556529923,France,Male,0
784,57,5,53863.299021154584,4,0,0,121296.21315848728,France,Male,0
765,63,8,112233.488749284,1,0,1,81514.33297651359,France,Male,1
547,29,1,108795.25159196823,1,1,0,27391.21378211549,France,Female,0
445,61,3,91917.03117000578,2,0,1,77104.44129034605,Spain,Female,0
398,40,0,64085.391359395726,4,0,0,61763.20408053931,Germany,Female,0
849,29,4,172143.86967183478,4,0,1,82879.38363493273,France,Male,0
543,33,4,185524.06629148772,1,1,1,130564.36257260611,Spain,Female,0
642,39,8,178158.4707473415,2,1,1,53598.39974995536,France,Male,0
725,75,5,43273.90354691101,4,0,0,142369.32144001167,Spain,Female,1
596,64,5,9183.027253921127,2,1,1,132802.3483048901,France,Male,1
359,28,7,1408.7107037614953,3,0,1,52853.013774339524,Spain,Male,0
832,33,0,71419.64603115762,1,1,0,123669.34373288293,Spain,Female,0
493,26,0,121192.16149815892,2,0,1,22594.081852651965,France,Male,0
689,19,6,181584.5074833842,1,0,0,116295.8029569707,Germany,Female,1
