CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Gender,Exited
648,68,5,42609.349354431724,4,1,1,80274.81159226102,Spain,Male,0
527,78,8,198657.59514545134,2,0,1,144036.74686052615,France,Female,0
411,72,3,15667.244249454294,3,0,1,110048.60933548097,France,Male,1
513,46,2,160731.79700000377,1,1,1,33076.78194881363,France,Female,0
752,64,9,55111.16307438122,2,0,0,85338.89085177475,Spain,Male,0
651,80,1,17733.294087284925,2,0,0,107844.14685939356,France,Female,0
522,69,10,143763.46938545295,4,0,0,90477.17217305588,France,Female,1
412,62,9,182914.90726524097,4,1,0,47636.98579859827,France,Female,0
660,80,6,32382.878941312356,2,1,1,61310.153176024505,Spain,Male,1
630,30,2,141174.37135350658,1,0,1,61293.4474024992,Spain,Male,1
793,56,2,118906.33377055009,3,1,1,79839.87776063153,Spain,Female,1
711,80,4,167804.39166684117,2,0,1,108468.56916424687,France,Male,0
557,46,2,181639.66789160366,4,0,0,30181.838579387186,Spain,Female,1
762,80,4,114020.7685180347,2,1,0,77877.1209550661,Germany,Female,1
307,68,0,12090.453129576928,2,1,0,83989.09434892828,Spain,Female,0
327,24,4,166556.66283769766,4,0,0,59940.57072053631,France,Male,0
447,75,8,129008.40244815852,3,0,1,86879.11068271616,Spain,Female,0
816,65,7,194287.7760073184,4,1,0,98139.4241640288,Germany,Male,1
571,68,6,51729.80692255504,1,1,1,52927.25774963748,Germany,Female,0
552,55,5,118802.29939444539,2,0,1,130201.98240846423,Germany,Female,0
358,30,0,99600.04796754905,2,1,0,36198.582989378316,France,Male,0
554,56,4,145026.7423666574,1,0,1,46608.55825585736,France,Male,1
664,52,4,140893.82676585385,1,1,1,117934.1570463523,Spain,Female,0
406,34,4,198525.09469717235,3,1,1,147019.1236065458,France,Male,0
578,27,10,69130.91979234491,2,1,0,77775.96043715859,Germany,Female,0
670,67,1,82349.90580225326,3,1,0,38267.27884671566,Spain,Male,1
695,70,3,18111.678759790982,3,1,1,39389.17165100256,Germany,Male,1
632,43,10,132985.05012928185,3,1,0,54346.66358771356,France,Male,0
356,51,2,32884.522302255624,4,0,1,140365.2985134954,France,Male,0
442,31,7,140955.34582299017,1,1,1,61228.209063288465,France,Female,0
660,76,5,29423.93682927682,4,0,1,86439.93186895823,France,Female,0
787,72,6,69846.45818182737,2,0,0,111894.04410080345,France,Female,0
