CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Gender,Exited
647,75,2,128752.38999056433,3,1,1,125356.14079172732,France,Male,0
779,36,8,47033.94021399618,3,1,0,130068.23289197692,Spain,Male,1
510,73,9,88506.95562589417,3,1,1,138896.63303986524,Germany,Female,1
410,56,0,103530.92243667452,1,0,0,32045.794571850616,France,Male,1
606,78,5,150670.00475850684,2,0,1,80190.99798326391,Spain,Male,0
763,70,5,84335.20057277019,3,0,1,42111.66767421484,France,Male,0
576,26,3,19017.575674707277,3,0,0,44790.41421639922,Spain,Female,0
684,33,7,184709.7465906952,2,0,1,73545.30804103374,France,Male,0
506,62,4,3590.6941998478105,4,1,0,66060.84646982438,France,Female,1
479,79,1,95619.87453964882,2,1,1,145732.19648489504,France,Male,1
306,51,6,71383.4739186327,2,1,0,59746.51522139367,France,Female,1
775,73,8,73478.04536632367,1,0,0,137990.23516284797,Spain,Male,1
568,37,3,192870.57932803314,2,1,1,69390.74685680485,Spain,Female,0
823,74,0,136666.46896465696,2,1,1,60604.473153145904,France,Female,1
602,35,10,4822.471909565195,4,1,1,81345.9271944331,Spain,Female,0
305,50,9,187215.1279756803,2,0,0,117025.64886866428,Germany,Female,1
502,40,4,92972.55966463138,1,0,0,105535.81639358641,Spain,Female,0
650,35,5,168188.53041957127,4,1,1,134121.4640806957,Germany,Female,0
720,24,2,113799.00288045818,3,0,0,70784.75047909678,France,Female,1
791,60,4,126866.8940651832,1,1,1,21519.663322262713,Spain,Male,0
771,75,5,113903.54369984388,2,1,1,22122.275696853107,France,Male,0
620,71,1,88888.28683539918,2,0,0,112876.37529770553,France,Female,1
321,44,5,62978.03733856562,3,0,0,28463.22369145954,Germany,Male,0
398,44,4,3793.276946208235,4,0,0,66159.84270076235,Germany,Female,0
332,26,9,48107.38050534986,2,1,1,145852.30229454584,Spain,Male,0
638,63,4,57302.2571799406,2,0,0,106525.95191301574,France,Female,1
452,28,4,133558.082979804,1,1,1,100302.25862098591,France,Female,0
338,68,0,138944.82552731625,3,1,0,33951.29996285127,Spain,Female,1
532,23,2,138708.13746075338,1,1,1,55457.087351558686,Germany,Female,0
849,78,6,70591.74549186781,1,0,1,55276.21450136796,France,Female,0
564,43,0,127900.38036274322,1,0,0,67437.19318338815,Germany,Male,1
677,48,9,151743.96045432906,1,1,1,101452.72750172806,Spain,Male,0
557,31,10,198758.75932742434,4,0,0,33656.28616658127,France,Male,0
536,31,3,37406.446001164564,1,0,0,99210.80361010328,Spain,Male,1
812,54,10,124651.10497852696,1,0,1,80907.9167742219,Germany,Male,0
691,22,7,181044.98470598806,1,0,0,119140.52469982441,Germany,Male,1
744,40,1,48456.232023591794,3,1,1,28566.147053052555,France,Male,0
515,26,0,97639.14570476113,2,0,1,56256.79354743974,France,Female,0
450,19,4,99255.53181148044,3,1,0,87685.7328212366,Spain,Female,0
798,20,1,66841.28836625311,3,1,1,78970.5031971139,Germany,Male,0
664,29,2,46978.881225637866,4,0,0,68209.56344927105,France,Male,1
738,43,4,152065.01500544266,4,1,0,31989.521193225482,France,Female,1
506,79,10,93249.6255686603,4,1,1,49354.01464357243,France,Male,1
495,55,4,96166.41131487746,4,0,0,92814.3049966557,Germany,Male,0
540,23,10,142260.63447578522,3,1,1,89252.71255415081,France,Female,0
752,61,0,161384.03070813874,4,1,0,59318.043697188965,France,Male,1
340,58,1,140517.41131039694,4,1,1,125310.5555152528,Spain,Female,0
493,60,7,60519.80807210544,1,1,0,33206.109428595984,France,Male,0
726,76,7,148760.90215605707,3,1,0,128598.10883506492,France,Female,1
737,60,3,46992.71468385848,4,1,1,135044.28374946048,Spain,Female,0
318,40,6,80371.98113781528,4,1,1,115497.23852059031,France,Male,0
363,50,4,111093.3754797744,1,1,1,26902.63478395518,Germany,Female,1
348,69,0,176141.76643989037,1,0,1,106386.58366798669,Spain,Male,0
719,76,0,85606.22610984341,1,0,1,93824.4360032891,France,Male,0
828,32,1,185590.83647835627,2,1,1,24971.640747697744,France,Male,0
496,23,8,198827.3627163314,3,1,1,50576.469746329894,Spain,Male,0
647,48,1,83814.39162386775,4,1,1,48135.7304635254,Spain,Female,0
320,68,0,82601.65075181269,2,1,1,117475.7989701246,Spain,Female,0
712,44,6,41560.77490039711,1,1,1,67027.74916096375,Spain,Female,0
718,69,7,106524.52663348506,3,0,0,85569.91562874654,France,Male,0
712,65,3,117880.72264050931,3,0,1,93072.68936340969,France,Female,0
568,58,5,194515.19414120968,1,1,1,135840.6803993478,Germany,Male,0
